P,T,fG,NCeq,cH,cC,cG,cN
160000.0,319.13793103448273,0.0208894736842105,53813.782890026974,2.734872607270272e-06,0.0245545238293003,0.0001138537500236,4.791590158435452e-05
160000.0,319.13793103448273,0.0232105263157894,48292.5648995959,2.719703228229689e-06,0.0247106829326032,0.000111998198817,4.8326507299596446e-05
160000.0,319.13793103448273,0.0255315789473684,42771.8847627752,2.70447042035455e-06,0.0248668419528998,0.0001101427256599,4.873711302766213e-05
160000.0,319.13793103448273,0.0278526315789473,37249.00389316907,2.689165202868416e-06,0.0250230008534128,0.0001082873310195,4.914771877162152e-05
160000.0,321.1034482758621,0.0,80329.52596255965,4.0820075714387365e-06,0.0224397660758049,0.0001296926649151,4.422064432772484e-05
160000.0,321.1034482758621,0.0023210526315789,76019.25834331302,4.060885637507772e-06,0.0225913521781407,0.0001278433109797,4.463123925014902e-05
160000.0,321.1034482758621,0.0046421052631578,71708.48932419131,4.0397039557918815e-06,0.0227429390892098,0.0001259934472513,4.504183435192141e-05
160000.0,321.1034482758621,0.0069631578947368,67399.2461435313,4.018465480703034e-06,0.0228945266954303,0.0001241431250039,4.545242963319193e-05
160000.0,321.1034482758621,0.0092842105263157,63088.52690956822,3.997164647520753e-06,0.0230461148102959,0.0001222924658802,4.586302506267375e-05
160000.0,321.1034482758621,0.0116052631578947,58778.118876897024,3.975792127010518e-06,0.0231977032595628,0.000120441589099,4.627362060288677e-05
160000.0,321.1034482758621,0.0139263157894736,54467.52196682194,3.954333844639206e-06,0.0233492918936297,0.0001185906001909,4.6684216218543614e-05
160000.0,321.1034482758621,0.0162473684210526,50156.01992595689,3.932811883987846e-06,0.023500880604855,0.000116739574294,4.709481188122672e-05
160000.0,321.1034482758621,0.0185684210526315,45846.13283805263,3.911209346461839e-06,0.0236524693212016,0.0001148885648681,4.750540757307208e-05
160000.0,321.1034482758621,0.0232105263157894,37222.61954974863,3.86772619559535e-06,0.0239556467398256,0.0001111866626847,4.83265990221147e-05
160000.0,321.1034482758621,0.0255315789473684,32912.66544990598,3.84584628114628e-06,0.0241072354366974,0.0001093357629916,4.873719477473185e-05
160000.0,321.1034482758621,0.0278526315789473,28603.16112935005,3.823865223055757e-06,0.024258824084534,0.0001074848944024,4.9147790541415e-05
